Pod,Season,Ep,Episode_ID,Film,Release_Date,Length,Length_minutes,Reviewer,Guest,MMM_Count,Thats_Great_Count,Notable_Moments,H_Flex,J_Flex,Kevs_Question,TildaH,TildaJason,TildaGuest,TildaCorey,Chuckle_Hut_Favorites,Show_Link,Artwork_Link,Letterboxd_Link,IMDB_Link
DP,1,11,11,Jodorowsky's Dune (2013),44053,0.0490162037037037,"=G12/TIME(0,0,60)",Silly,Stephen Scarlata,9,4,"- First documentary,  
- Jason states his position is the movie will never be released.",It is real. It's not just in my head.,I love how people are drawn into this movie at their peril,N/A,H.R. Giger,H.R. Giger,"That ""french producer Gabon"" who looks cool smoking cigarettes",N/A,,https://open.spotify.com/episode/7eUy5S55LyGgjnlu7gUIvm?si=W548wAuWQtqToH4xplB-dw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1596926299717-84428075c3ca6.jpg,,https://www.imdb.com/title/tt1935156/?ref_=ext_shr_lnk
DP,1,12,12,Dune (1984),44067,0.07189814814814814,"=G13/TIME(0,0,60)",Pat,Meredith Borders,11,3,"- Dune (2021) trailer announced, War Pugs. 
- Is this the Citizen Kane of Hair movies? 
- Pod-First - first Corey VM!, 
- Jason Sings Dune Outro music",1 (H's dad was Paul Smith's college roommate),N/A,N/A,The Baron,Lady Jessica; Rev. Mo. Gaius Helen Mohiam; also the Rutger Hauer character in Ladyhawke,Piter De Vries,Alia,,https://open.spotify.com/episode/08DI7f5NuCsAlz4pvLr0W7?si=HF3Q0sBhT4WILS7Y3YY8zQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1598326887150-90f2bbbc3dcbc.jpg,,https://www.imdb.com/title/tt0087182/?ref_=ext_shr_lnk
DP,1,13,13,Little Women (2019),44075,0.056469907407407406,"=G14/TIME(0,0,60)",birria ,ctcher,12,2,"- Jason coins the term ""Chalemocist""",N/A,N/A,N/A,Aunt March,"Jo March, Laurie, scarlet fever","Jo March, the piano",N/A,,https://open.spotify.com/episode/09T79uZrZipGylYecPFvmC?si=vLKez8KQSMi6l4nE7OCJXg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1598742236012-081907c73d51d.jpg,,https://www.imdb.com/title/tt3281548/?ref_=ext_shr_lnk
DP,2,14,14,Euphoria (2019),44081,0.06775462962962962,"=G15/TIME(0,0,60)",birria,Sara Chipps,9,2,"- Dune 2021 teaser trailer talk. 
- The Internet is the carnival you can never leave - Jason.",H used to go to parties in high school with nestle quik in a paper bag to look cool,N/A,N/A,Fez,"Ashtray  - Welcome to Pretzel Mania, may I take your order?",Nate's Dad ,N/A,,https://open.spotify.com/episode/4ztxWVgRKBc0dFalsr8jZa?si=IMzxeDQXR62nZwELWDw1oA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1599427295506-3b420681c85c7.jpg,,https://www.imdb.com/title/tt8772296/?ref_=ext_shr_lnk
DP,2,15,15,Dune Official Trailer Reaction Episode (2020),44083,0.015173611111111112,"=G16/TIME(0,0,60)",Nexus9,None,4,2,"- ""It's good. That's the whole podcast."" (then 20 more minutes). 
- Liked the Zimmer Floyd cover, but moody covers are mostly cooked.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/5AdPT0eaFiBmkyKfEBtF7B?si=ubFNADReSLaNci1HQMbMpA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1599692071324-fa19a80705546.jpg
DP,2,16,16,Enemy (2013),44089,0.05542824074074074,"=G17/TIME(0,0,60)",NJBoom,slim,16,4,"- Slim first guest appearance. 
- Nice mention of Maman sculpture by Louise Bourgeois. 
- Proto VM",N/A,N/A,N/A,N/A,Spider,Helen,N/A,,https://open.spotify.com/episode/2Y3bomVDRNwj9FpcQiKv0J?si=vCDA3BTPRxyMBZuWVWvrKA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1599858253500-1441ed2b5fbbb.jpg,,https://www.imdb.com/title/tt2316411/?ref_=ext_shr_lnk
DP,2,17,17,Rogue One (2016),44096,0.05768518518518519,"=G18/TIME(0,0,60)",birria ,Danny Haas,26,8,"- First Danny H appearance
- Jason proposes buying out a theater for the Dune Premiere
- Jason - ""The empire building their data storage facility on a tropical planet was a bad idea. Hoth would have been much better.
- Danny - ""Rogue 1 is the most Star Wars Star Wars movie - the best thing Disney has done with the IP""",N/A,N/A,N/A,K2SO,"Bor Gullet, Krennic ",Krennic,N/A,,https://open.spotify.com/episode/1IIIQJdfBEXpcJ9qpiYNKs?si=-a-E52TGQKeZ75nPI6hyxg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1600462676237-7d1ef2205e268.jpg,,https://www.imdb.com/title/tt3748528/?ref_=ext_shr_lnk
DP,2,18,18,Children of Dune (1976) Part One,44102,0.04905092592592593,"=G19/TIME(0,0,60)",birria ,Proto,14,2,Fun to hear how nervous Jason is about how the Dennis V Dune movie will be received ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/6BYHTTrJ6qnDgX83pVPrfm?si=7xpu3nhaQayCQjfqSrs-pA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1601185809135-0979d0e71858f.jpg
DP,2,19,19,Children of Dune (1976) Part Two,44110,0.05028935185185185,"=G20/TIME(0,0,60)",birria ,Proto,19,0,"- Laza Tigers would be the perfect bridge for a Dune/Tiger King crossover
- Frank Herbert bad at sex stuff - Beefswelling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/6b8o7aWO3VdDNWY66WnQOq?si=KF32eXUyQdalzPJlIZdz_A,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1601921357105-7560a92e44e7d.jpg
DP,2,20,20,Zardoz (1974),44116,0.06916666666666667,"=G21/TIME(0,0,60)",Nexus9,Mike Isaac,20,3,"- ""Penic response"" and Ridley Scott being inspired by Zardoz for Blade Runner? 
- Pod-First inference that Christopher Nolan is a hack (this movie has backwards time stuff). 
- Connery did a service for guys with hairy dad bods.",N/A,Philip J Hoffman lived in Jason's building,N/A,Arthur,Friend,Jules from Pulp Fiction,N/A,,https://open.spotify.com/episode/4UymdjRwnyUZYXdNKeVKwt?si=QuwYHcxHRrO92eFcXOQqwg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1602280770504-584fb3321ab81.jpg,,https://www.imdb.com/title/tt0070948/?ref_=ext_shr_lnk
DP,2,21,21,Mission Impossible: Fallout (2018),44123,0.07399305555555556,"=G22/TIME(0,0,60)",NJBoom,Lorelei David,18,3,"- Jason Sings - Totoro Double Fist Bump song. 
- J apologizes for Excalibur comments. 
- Pod-First mention of Wolf Blitzer's IMDB on the pod? 
- This movie was made through money laundering.",N/A,N/A,N/A,Lane or Benji,Wolf Blitzer or Lane,Niels,N/A,,https://open.spotify.com/episode/3nALKLPzi8hokRFWNzmLGh?si=t_5YcUGRQEegCoFNNl4Qmg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1603649593591-8b0d3cc243c78.jpg,,https://www.imdb.com/title/tt4912910/?ref_=ext_shr_lnk
DP,2,22,22,Prisoners (2013),44130,0.07137731481481481,"=G23/TIME(0,0,60)",NJBoom,Rob Schroeder,37,5,"- J cannot field-strip a weapon, or repair a doorstop. 
- Timmy on GQ cover",N/A,N/A,N/A,Holly Jones,Holly Jones,Detective Loki,N/A,,https://open.spotify.com/episode/28YJMd2NiSVzNTAGwhDrCl?si=dTtRljiwSe6Vv0yr4-c3dw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1603649358107-37a698b1c835e.jpg,,https://www.imdb.com/title/tt1392214/?ref_=ext_shr_lnk
DP,2,23,23,Lady Bird (2017),44137,0.07457175925925925,"=G24/TIME(0,0,60)",birria ,ctcher,28,2,"- THE ICE IS GONNA BREAK - Walken
- ctcher is our resident Chalemocist
- Theatre stories
- The boys hate DMB",N/A,N/A,N/A,Winston Smith in ctcher's production of 1984 (lol),Sister Sarah,"The Mom, Shelly",N/A,,https://open.spotify.com/episode/2GytL6yntP3JP9StdDhLJj?si=4zdRgEDhQ82vpv-BUSd0KQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1604367042871-748a4cdbf79c2.jpg,,https://www.imdb.com/title/tt4925292/?ref_=ext_shr_lnk
DP,2,24,24,Drive (2011),44144,0.06100694444444445,"=G25/TIME(0,0,60)",NJBoom,Cal Henderson,23,5,"- Test screening of Dune in Arizona. 
- Pod-First: Watch Talk. 
- Jason wants to have Chinese food with Albert Brooks.",N/A,N/A,N/A,The child: Benicio,Agree with Bernie Rose,Bernie Rose or Blanche,N/A,,https://open.spotify.com/episode/4uMKF7wutfVcWXhXSMQjJV?si=QNAv6aImQMusPG4d9sllog,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1604860196017-ea63891fff697.jpg,,https://www.imdb.com/title/tt0780504/?ref_=ext_shr_lnk
DP,2,25,25,Tim O'Reilly's Frank Herbert (1981),44152,0.06097222222222222,"=G26/TIME(0,0,60)",Buddha,Tim O'Reilly,29,11,"- 3 Voicemails from Corey. 
- Last ep of Season 2 (Jason paternity leave after). 
- No J singing ""Dune News"". 
- Eugene Smith Holiday Card
1 ""hmm"" with ""mmm!"" vibes & a ""huh"" same",N/A,N/A,N/A,N/A,"""One woman show""","(Tilda in Dune, upcoming? or in general?) - Tim says anyone she wants","(Corey wants Tilda Werewolf movie) - Corey Qs for Tim: (1) Fave Dune book (A: Messiah), (2) Non-Dune Frank rec (A: The Santaroga Barrier)",,https://open.spotify.com/episode/0FQAG7G0uTvKCFpx5S12uN?si=tn7x8NNoQp6zS1q79rilUg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1605652216985-9696a75c979.jpg
DP,3,26,26,Frank Herbert's Dune (2000),44214,0.049652777777777775,"=G27/TIME(0,0,60)",Buddha,Sara Beykpour,5,3,"- Season 3 premier. 
- VM's: Jason's friend Nelson, Corey, ctcher. 
- Corey's zine features interview with H & J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/0s6WCqqV1uzQReClPgBc5h?si=LNRXEqHPR0KsVevMFaVUXw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1610913654649-e5e6dc663e919.jpg,,https://www.imdb.com/title/tt0142032/?ref_=ext_shr_lnk
DP,3,27,27,The Greatest Showman (2017),44221,0.04045138888888889,"=G28/TIME(0,0,60)",Nexus9,Sara Chipps,18,4,"- Jason cries on planes. 
- Jason wrote out all of the song titles for a Dune Musical. 
- Pod-First: Letter from Jim Colb(?) starts the whole ""without further aDune"" for the pod prologues from this point on",N/A,N/A,N/A,Miniature Elephant that Tom Thumb rides,Swedish Nightingale,Ballet daughter,N/A,,https://open.spotify.com/episode/2DTIeLMyW4LOVBtaBFL8zN?si=iw9IIGVpR-CztMxOcyNZ4Q,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1611611762755-d7c06b135f311.jpg,,https://www.imdb.com/title/tt1485796/?ref_=ext_shr_lnk
DP,3,28,28,The King (2019),44228,0.057060185185185186,"=G29/TIME(0,0,60)",Buddha,slim,7,0,"- Pod-First: First use of 'Without Further A-Dune"" from last week's email suggestion. 
- H: ""woowwww wow wow wow""",N/A,N/A,N/A,Archbishop,King Henry,the dauphin,N/A,,https://open.spotify.com/episode/2eacjePsltrP7IYtTl5V9W?si=F3W_mRp-QgWChS-K-1-R4g,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1611961808049-129aa370f2d63.jpg,,https://www.imdb.com/title/tt7984766/?ref_=ext_shr_lnk
DP,3,29,29,Polytechnique (2009),44235,0.058194444444444444,"=G30/TIME(0,0,60)",NJBoom,ctcher,24,2,"- ctcher recommended. 
- First place for guest vs Proto
- Zendaya described dance parties on Colbert
House Hippos",N/A,N/A,N/A,Interviewer,Mother,Mother,N/A,,https://open.spotify.com/episode/2Pqacy25hFsnwR1dt2lgC3?si=kI7rP2_7Q9-5a2xblJNZCQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1612721724120-3d119626c6266.jpg,,https://www.imdb.com/title/tt1194238/?ref_=ext_shr_lnk
DP,3,30,30,God Emperor of Dune (1981),44241,0.04358796296296296,"=G31/TIME(0,0,60)",birria ,Proto,19,0,"- Gross Protuberance talk
- Leto is a 3500 year old incel",N/A,N/A,N/A,Duncan,Leto,N/A,N/A,,https://open.spotify.com/episode/1UJV0n4mJDlQVl96grDQiN?si=LaiCf8ZvRTqi8yzE5kyqXA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1613362382081-c546673d7ac26.jpg
DP,3,31,31,Inside Llewyn Davis (2013),44250,0.046296296296296294,"=G32/TIME(0,0,60)",birria ,Rob Schroeder,29,0,"- Fundraiser for tx food banks
- Jason Dylan Slander Reprised
- First request to play Insane Clown Posse Miracles
- Haitch Coen Bros Tier list",Haitch played guitar with Joan Baez ,N/A,N/A,Roland Turner,Johnny Five,Roland Turner ,N/A,,https://open.spotify.com/episode/6BDe1jNG8upytePBy9ddDd?si=pU6ZUN-4Q0m9sSfbqyl6uw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1614065544967-85e14c3c32232.jpg,,https://www.imdb.com/title/tt2042568/?ref_=ext_shr_lnk
DP,3,32,32,Ladyhawke (1985),44256,0.05736111111111111,"=G33/TIME(0,0,60)",Hex,Meredith Borders,11,9,"- Pod-first - Jason's dad owned a video rental store
- Jason Sings Man in Motion
- Pat VM",N/A,N/A,N/A,the Bishop/Imperious,everyone but Mouse,the Bishop/Imperious,the Bishop,,https://open.spotify.com/episode/5G6zti0IeDPzZvVRK9calJ?si=DisG86jXTIShOWhaqurTgg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1614581275684-4b897c699e8a6.jpg,,https://www.imdb.com/title/tt0089457/?ref_=ext_shr_lnk
DP,3,33,33,Ronin (1998),44263,0.04986111111111111,"=G34/TIME(0,0,60)",birria ,Tom Verrilli,24,5,"- First Stellan Skarsgard movie
- Jason Sings Man in Motion (Reprise)",N/A,N/A,N/A,Spencer,Gregor (agreeing with Tom),Gregor (replacing Stellan),N/A,,https://open.spotify.com/episode/04KzeLmMjZ9peHApUIs7vo?si=pYa1ZgV8RZSmFqgqg0h-2w,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1615187438352-fa2b987dd1c27.jpg,,https://www.imdb.com/title/tt0122690/?ref_=ext_shr_lnk
DP,3,34,34,David Lynch's Lost Highway (1997),44269,0.08013888888888888,"=G35/TIME(0,0,60)",Pat,Charles Forsman / dale_a,35,0,"- Jason notices that H works the title of the film into the end of every synopsis
- Jason promises to wear a pencil mustache if the episode gets 10000 listens; 
- origin of the original Corey sounder? 
- Pod-First - the Dune Pod Discord is conceived!",N/A,N/A,N/A,Mr. Black / Man in Black,Mr Eddy,"Dale: Fred / Pete, Chuck: Andy",N/A,,https://open.spotify.com/episode/6FDi6770kd2oLpnpxuO7NA?si=t1Q7ke6qSief43CzaFy1dA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1615782925774-7ce9cc0f6421d.jpg,,https://www.imdb.com/title/tt0116922/?ref_=ext_shr_lnk
DP,3,35,35,Skyfall (2012),44276,0.07042824074074074,"=G36/TIME(0,0,60)",birria,Jonesy Loves Beer,44,6,"- Jason sings: Skyfall theme (briefly), GOLD-FINGERRRRRR. 
- Best Bond song - Jason ""Nobody Does It better"" by Carly Simon, H picked Skyfall from Adele, JLB picks License to Kill by Gladys Knight. ""
- Another goddamn movie about the Knock List!"" 
- Wolf Blitzer sighting. 
- JLB calls Bardem one of the best Bond villains.",N/A,N/A,N/A,M,M - the Judy Dench role,Silva (Bardem) or the Komodo Dragon,N/A,,https://open.spotify.com/episode/3BIK3ZP7Bpfx5BatIjK1OB?si=tGJMIvAeS0y8MpUtIv1b8w,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1616360105885-e7020b09a7e74.jpg,,https://www.imdb.com/title/tt1074638/?ref_=ext_shr_lnk
DP,3,36,36,TENET (2020),44283,0.06950231481481481,"=G37/TIME(0,0,60)",NJBoom,Tim Croshaw,27,5,"- H and J have not met in person yet
- theories about poop going backwards through time
- Pat email, BK VM",N/A,N/A,N/A,Priya,Scientist or Sator,Sator,N/A,,https://open.spotify.com/episode/6GnTSYORxubCJZRRXlpewV?si=NV8EHDzwTW2Oj3QYkCNJ1w,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1616955202773-f45e82f236cb5.jpg,,https://www.imdb.com/title/tt6723592/?ref_=ext_shr_lnk
DP,3,37,37,The Big Lebowski (1998),44290,0.09230324074074074,"=G38/TIME(0,0,60)",Jeth,Chris Sacca,3,12,"- ""Summarizing is your superpower"" - Chris to Haitch
- Introduction of the ""interesting fact bell"", soon to be never used again. 
- ""The only recasting lens I view in the world is just Tilda, I'm blind to all other actors"" - Haitch 
- First mention of the pod being ""only tenuously connected to Dune"" - Chris",N/A,Living in the same apt complex as Philip Seymour Hoffman in NYC.,N/A,Jackie Treehorn,Malibu Sheriff,Funeral Director,Dusty/Jackie Treehorn ,,https://open.spotify.com/episode/6KIaxreHdSTefzhOekbrjy?si=HJiIBPd8T_SV_RQApJnNKA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1617570894580-346f25deabe86.jpg,,https://www.imdb.com/title/tt0118715/?ref_=ext_shr_lnk
DP,3,38,38,True Grit (2010),44297,0.05399305555555556,"=G39/TIME(0,0,60)",Buddha,Merci Grace,30,3,"- Victoria walks out on 85% of theater movies
- H daughter parallel re-read Twilight 
- Pat letter! (Tenet)",N/A,Jason was an extra in Billy Crystal's movie 61*,N/A,Colonel,Ned Pepper,Rooster,N/A,,https://open.spotify.com/episode/0CztNVOabQCr2aPIhEOZDV?si=CKJYMPzbQdO6Bgn0y756cQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1617990770635-02b839199a6.jpg,,https://www.imdb.com/title/tt1403865/?ref_=ext_shr_lnk
DP,3,39,39,Malcolm and Marie (2021),44304,0.048101851851851854,"=G40/TIME(0,0,60)",birria,Boom,15,2,"- First Boom Episode
- 3rd Zendaya focused episode",N/A,N/A,N/A,N/A,Both Malcom and Marie as a one woman show,Malcom,N/A,,https://open.spotify.com/episode/6ROSEUb19EqMt4dfMVhway?si=VxQPc88SSdm_wTfqzW_LwQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1618596655731-d7364bbb84bc8.jpg,,https://www.imdb.com/title/tt12676326/?ref_=ext_shr_lnk
DP,3,40,40,Interstellar (2014),44311,0.09630787037037038,"=G41/TIME(0,0,60)",NJBoom,M.G. Siegler,43,9,"- Timmy C's first movie! 
- Science content from J. 
- Clear connections between Christopher Nolan and Dennis V. 
- Corey has been cheating on DunePod with some dodgy KISS podcast. 
- Pat email, Boom email - Tilda should play the Hathaway part. 
- ctcher thinks Tilda should play Damon's part.",N/A,N/A,N/A,Brand,TARS,Brand,T/A,,https://open.spotify.com/episode/2vddlexTvnHYeFpkq8M79y?si=6Z-IGkAkRbG9DNxu7nX5Iw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1619376258426-ffb3a63eef52f.jpg,,https://www.imdb.com/title/tt0816692/?ref_=ext_shr_lnk
